식품명,1회제공량,에너지,단백질,지방,탄수화물,당류,나트륨,콜레스테롤,포화지방산,트랜스지방산
대상)청정원뿌까마또르,30g,42.19㎉,2.25g,2.59g,2.81g,0.31g,118.12㎎,0g,0.56g,0.11g
대상)청정원뿌까마또르담백한맛,30g,76.56㎉,3.4g,3.57g,6.81g,0.31g,153.12㎎,0g,0g,0.31g
대상)청정원뿌까마또르플러스,30g,18.0㎉,0.9g,1.05g,1.2g,0.31g,63.0㎎,0g,0.19g,0g
대상)청정원사골미역국밥,100g,285.0㎉,5g,1.9g,62g,1.0g,1060.0㎎,0g,1.4g,0g
대상)청정원사과올리고당,100.0g,320㎉,0g,0g,81g,31g,0㎎,0g,0g,0g
대상)청정원사과잼복음자리,20g,10.0㎉,0g,0g,2.4g,2.4g,0.0㎎,0g,0g,0g
대상)청정원사과쨈복음자리,20g,50.0㎉,0g,0g,13g,12.0g,0.0㎎,0g,0g,0.2g
대상)청정원상하이식짬뽕밥,100g,310.0㎉,7g,3.9g,62g,3.0g,1540.0㎎,0g,1.4g,0g
대상)청정원새송이버섯갈릭고르곤졸라스파게티소스,250.0g,310㎉,6g,21g,24g,6g,1840㎎,0g,8g,0.5g
대상)청정원새송이버섯고르곤졸라스파게티소스,100g,150.0㎉,3g,12g,7g,2.0g,550.0㎎,0g,10g,0.5g
대상)청정원쇠고기볶음고추장,60.0g,140.0㎉,3.0g,2.1g,27.0g,11g,1140.0㎎,0g,0g,0g
대상)청정원순창100%국산고추장,100.0mL,240.0㎉,5g,3.0g,48.0g,27g,2390.0㎎,0g,0.0g,0g
대상)청정원순창고기전용쌈장,100.0g,230.0㎉,9.0g,3.9g,40.0g,24g,2040.0㎎,0g,0.6g,0g
대상)청정원순창구수한메주콩된장,17.0g,30.0㎉,3g,0.0g,3.0g,0g,690.0㎎,0g,0.0g,0g
대상)청정원순창막장,100.0g,190.0㎉,9.0g,4.6g,28.0g,16g,2100.0㎎,0g,0.9g,0g
대상)청정원순창불타는매운고추장,18.0mL,40.0㎉,1g,0.0g,8.0g,4g,380.0㎎,0g,0.0g,0g
대상)청정원순창쇠고기비빔고추장,100.0g,205.0㎉,5.0g,1.8g,42.0g,19g,2210.0㎎,0g,0g,0g
대상)청정원순창숯불맛쌈장,100.0g,215.0㎉,8.0g,3.9g,37.0g,19g,2240.0㎎,0g,0.6g,0g
대상)청정원순창쌈장골드,100.0g,215.0㎉,9.0g,3.2g,38.0g,24g,2020.0㎎,0g,0.5g,0g
대상)청정원순창양념듬뿍쌈장,18.0g,40.0㎉,2.0g,0.0g,7.0g,4g,430.0㎎,0g,0g,0g
대상)청정원순창우리쌀로만든현미고추장,100.0mL,220.0㎉,5g,2.0g,46.0g,25g,2340.0㎎,0g,0.0g,0g
대상)청정원순창우리쌀찰고추장,100.0mL,240.0㎉,4g,2.0g,52.0g,34g,2600.0㎎,0g,0.0g,0g
대상)청정원순창재래식생된장,17.0g,25.0㎉,2g,0.6g,3.0g,2g,730.0㎎,0g,0.0g,0g
대상)청정원순창재래식숙성된장,100.0g,165.0㎉,13g,4.1g,19.0g,9g,4320.0㎎,0g,1.0g,0g
대상)청정원순창조개멸치된장찌개양념,100.0g,155.0㎉,12.0g,4.4g,17.0g,7g,5060.0㎎,0g,1g,0g
대상)청정원순창진한재래식된장,100.0g,165.0㎉,13g,5.5g,16.0g,4g,4980.0㎎,0g,1.0g,0g
대상)청정원순창참깨마늘양념쌈장,18.0g,45.0㎉,2.0g,0.7g,7.0g,4g,420.0㎎,0g,0g,0g
대상)청정원순창초고추장,100.0g,215.0㎉,5.0g,1.6g,45.0g,32g,1510.0㎎,0g,0g,0g
대상)청정원순창태양초덜매운고추장,100.0mL,235.0㎉,5g,3.0g,47.0g,28g,2380.0㎎,0g,0.0g,0g
대상)청정원순창태양초매운고추장,18.0mL,40.0㎉,1g,0.0g,8.0g,5g,450.0㎎,0g,0.0g,0g
대상)청정원순창태양초찰고추장,100.0mL,210.0㎉,4g,2.0g,45.0g,22g,2390.0㎎,0g,0.0g,0g
대상)청정원스파게티,100g,360.14㎉,12.45g,0.18g,77.19g,3.57g,0.0㎎,0g,0.02g,0g
대상)청정원스파게티소스1호3.1kg,100g,67.2㎉,2.8g,2g,9.5g,6.1g,510.6㎎,0g,0.4g,0.03g
대상)청정원스파이시오리엔탈드레싱소스상온,100g,160.0㎉,2g,10g,15g,13.0g,920.0㎎,0g,0.8g,0g
대상)청정원슬라이스햄S,100.0g,190.0㎉,12g,11.0g,11.0g,1g,860.0㎎,0g,3.0g,0g
대상)청정원쌀올리고당,100g,320.0㎉,0g,0g,81g,25.0g,20.0㎎,0g,0g,0g
대상)청정원아이사랑딸기잼복음자리,20g,50.0㎉,0g,0g,12g,2.18g,0.0㎎,0g,0g,0.2g
대상)청정원아침에먹는단팥죽,100g,116.0㎉,4g,0g,25.2g,7.2g,112.0㎎,0g,0g,0g
대상)청정원아침에먹는쇠고기버섯죽,100g,54.17㎉,2.08g,0.42g,10.42g,0.77g,195.83㎎,0g,0.21g,0g
대상)청정원아침에먹는전복소라죽,100g,52.08㎉,2.08g,0.29g,10.42g,0.58g,170.83㎎,0g,0g,0g
대상)청정원아침에먹는호박죽,100g,75.0㎉,1.25g,0.29g,17.08g,7.08g,150.0㎎,0g,0.21g,0g
대상)청정원아침에먹는흑임자죽,100g,72.92㎉,2.08g,2.92g,9.58g,4.58g,179.17㎎,0g,0.5g,0g
대상)청정원얼큰육개장국밥,100g,300.0㎉,6g,2g,65g,1.38g,1160.0㎎,0g,1.5g,0g
대상)청정원옛날식짜장,100g,108.33㎉,2.78g,4.44g,14.44g,4.0g,494.44㎎,0g,1.78g,0g
대상)청정원오리엔탈드레싱상온,100g,205.0㎉,2g,16g,13g,26.88g,1170.0㎎,0g,2.6g,0g
대상)청정원오푸드유기농녹차소면,100g,360.0㎉,11g,1.5g,76g,3.93g,1090.0㎎,0g,0g,0g
대상)청정원오푸드유기농소면,100g,365.0㎉,11g,2g,76g,3.93g,1090.0㎎,0g,0g,0g
대상)청정원옥수수유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.04g,0g
대상)청정원올리고당,100g,310.0㎉,0g,0g,79g,25.0g,0.0㎎,0g,0g,0g
대상)청정원올리브유,100g,900.0㎉,0g,100g,0g,0.0g,0.0㎎,0g,14g,0g
대상)청정원요리올리고당,100g,310.0㎉,0g,0g,78g,25.0g,0.0㎎,0g,0g,0g
대상)청정원우리밀부침가루,450.0g,1555㎉,42g,2.3g,342g,14g,2760㎎,0g,1.4g,0g
대상)청정원우리밀찰진국수,100g,350.0㎉,12g,0g,76g,2.09g,1050.0㎎,0g,0g,0g
대상)청정원우리밀튀김가루,450.0g,1560㎉,41g,4.1g,340g,0g,3510㎎,0g,0g,0g
대상)청정원우리아이케찹,100g,135.0㎉,2g,0g,32g,20.0g,1190.0㎎,0g,0g,0g
대상)청정원우리팜델리,30.0g,80.0㎉,4g,6.0g,2.0g,0g,200.0㎎,0g,2.0g,0g
대상)청정원유기농,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.05g,0g
대상)청정원유기농100%국내산우리아이보리차,100g,0.0㎉,0g,0g,0g,0.0g,0.0㎎,0g,0g,0g
대상)청정원유기농녹차소면,100g,360.0㎉,11g,15g,76g,3.93g,1090.0㎎,0g,0g,0g
대상)청정원유기농딸기잼,20g,10.0㎉,0g,0g,2.6g,2.18g,0.0㎎,0g,0g,0g
대상)청정원유기농딸기잼복음자리,20g,50.0㎉,0g,0g,13g,2.18g,0.0㎎,0g,0g,0.2g
대상)청정원유기농보리차,200g,0.0㎉,0g,0g,0g,0.0g,0.0㎎,0g,0g,0g
대상)청정원유기농부침가루,100g,350.0㎉,8g,1.5g,76g,2.0g,670.0㎎,0g,0g,0g
대상)청정원유기농블루베리잼,20g,9.6㎉,0g,0g,2.4g,2.07g,0.0㎎,0g,0g,0g
대상)청정원유기농블루베리쨈복음자리,20g,48.0㎉,0g,0g,12g,2.07g,0.0㎎,0g,0g,0.2g
대상)청정원유기농사과식초,100g,0.0㎉,0g,0g,0g,0.0g,0.0㎎,0g,0g,0g
대상)청정원유기농소면,100g,365.0㎉,11g,2g,76g,3.93g,1090.0㎎,0g,0g,0g
대상)청정원유기농수라당면,20g,13.6㎉,0g,0g,3.36g,0.01g,0.0㎎,0g,0g,0g
대상)청정원유기농옥수수수염차,200g,0.0㎉,0g,0g,0g,0.0g,0.0㎎,0g,0g,0g
대상)청정원유기농옥수수차,200g,0.0㎉,0g,0g,0g,0.0g,0.0㎎,0g,0g,0g
대상)청정원유기농현미식초,100g,0.0㎉,0g,0g,0g,0.0g,0.0㎎,0g,0g,0g
대상)청정원유기농황설탕,5g,1.0㎉,0g,0g,0.25g,0.24g,0.0㎎,0g,0g,0g
대상)청정원유기농흑설탕,5g,1.0㎉,0g,0g,0.25g,0.23g,0.0㎎,0g,0g,0g
대상)청정원유기수라당면,20g,13.89㎉,0.01g,0g,3.46g,0.01g,0.0㎎,0g,0g,0g
대상)청정원진한케찹,100g,110.0㎉,2g,0g,26g,20.0g,1090.0㎎,0g,0g,0g
대상)청정원진한토마토케찹,100.0g,110㎉,0g,0g,0g,20g,910㎎,0g,0g,0g
대상)청정원찰진국수소면,100g,370.0㎉,11g,1.5g,78g,3.93g,1030.0㎎,0g,0g,0g
대상)청정원찰진국수중면,100g,370.0㎉,11g,1.5g,78g,1.67g,1030.0㎎,0g,0g,0g
대상)청정원참나무로훈연한고소한햄,100.0g,265.0㎉,11g,21.0g,8.0g,1g,580.0㎎,0g,7.0g,0g
대상)청정원참나무로훈연한그릴부어스트,60.0g,170.0㎉,6g,14.0g,5.0g,0.7g,410.0㎎,0g,5.0g,0g
대상)청정원참나무로훈연한비엔나,100.0g,345.0㎉,12g,31.0g,5.0g,0.7g,710.0㎎,0g,11.0g,0g
대상)청정원참나무로훈연한살코기햄,100.0g,265.0㎉,11g,21.0g,8.0g,1g,580.0㎎,0g,7.0g,0g
대상)청정원참나무로훈연한순살햄,100.0g,225.0㎉,15g,18.0g,1.0g,1g,590.0㎎,0g,6.0g,0g
대상)청정원참나무로훈연한프랑크,38.0g,85.0㎉,5g,7.0g,1.0g,0g,270.0㎎,0g,2.7g,0g
대상)청정원참나무로훈연한훈연구이햄,100.0g,200.0㎉,12g,15.0g,4.0g,1g,740.0㎎,0g,5.0g,0g
대상)청정원치즈크림스파게티소스,100g,185.0㎉,3g,16g,7g,3.57g,370.0㎎,0g,13g,0.7g
대상)청정원카놀라유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.02g,0g
대상)청정원카레여왕구운마늘양파,200g,226.5㎉,6.25g,7g,34.5g,13.4g,1125.0㎎,0g,4.75g,1.25g
대상)청정원카레여왕비프,200g,412.5㎉,17.5g,17.5g,45g,13.4g,1975.0㎎,0g,10.5g,0g
대상)청정원카레여왕스위트,200g,466.67㎉,11.11g,20g,60g,13.4g,1577.7㎎,0g,13.33g,0g
대상)청정원카레여왕약간매운맛,200g,1848.8㎉,37.2g,98.4g,203.6g,44.0g,11371.0㎎,0g,46.8g,6.84g
대상)청정원카레여왕치킨카레,200g,281.25㎉,9.5g,11g,36g,13.4g,1727.5㎎,0g,4.75g,1.25g
대상)청정원카레여왕토마토치킨,100g,100.0㎉,3.57g,3.57g,13.57g,3.35g,464.29㎎,0g,2.14g,0g
대상)청정원케찹골드,100g,90.0㎉,1g,0g,22g,16.0g,930.0㎎,0g,0g,0g
대상)청정원코코몽소시지,30g,60.0㎉,1g,3g,7g,0.31g,180.0㎎,0g,0.4g,0.21g
대상)청정원태양초고추장,100.0mL,220.0㎉,6g,1.0g,47.0g,29g,2560.0㎎,0g,0.0g,0g
대상)청정원통참깨참기름,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.04g,0g
대상)청정원포도씨유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.03g,0g
대상)청정원포도잼복음자리,20g,10.0㎉,0g,0g,2.4g,2.15g,0.0㎎,0g,0g,0g
대상)청정원포도쨈복음자리,20g,50.0㎉,0g,0g,13g,2.15g,0.0㎎,0g,0g,0.2g
대상)청정원프렌치발사믹드레싱상온,100g,280.0㎉,0.5g,22g,20g,10.3g,1140.0㎎,0g,3.4g,0g
대상)청정원피자소스1호3.3kg,100g,143.6㎉,4.1g,4.8g,21g,17.7g,534.36㎎,0g,0.9g,0.05g
대상)청정원햇살담은1년자연숙성발효양조간장,100.0g,80.0㎉,11.0g,0.0g,9.0g,3g,6000.0㎎,0g,0g,0g
대상)청정원햇살담은양조간장깊고풍부한맛,100.0g,75.0㎉,9.0g,0.0g,10.0g,2g,6000.0㎎,0g,0g,0g
대상)청정원햇살담은양조간장깔끔한맛,100.0g,85.0㎉,11.0g,0.0g,10.0g,4g,5900.0㎎,0g,0g,0g
대상)청정원햇살담은양조진간장진한맛,100.0g,50.0㎉,7.0g,0.0g,6.0g,4g,6000.0㎎,0g,0g,0g
대상)청정원햇살담은양조진간장진한맛플러스,100.0g,65.0㎉,8.0g,0.0g,8.0g,4g,6000.0㎎,0g,0g,0g
대상)청정원햇살담은염도낮춘발효다시마간장,100.0g,3.0㎉,0.0g,0.0g,0.0g,0g,190.0㎎,0g,0g,0g
대상)청정원햇살담은우리콩간장,100.0g,60.0㎉,8.0g,0.0g,7.0g,4g,5950.0㎎,0g,0g,0g
대상)청정원햇살담은자연숙성맛간장조림볶음용,100.0g,90.0㎉,9.0g,0.0g,13.0g,9g,5680.0㎎,0g,0g,0g
대상)청정원햇살담은자연숙성조림간장,100.0g,75.0㎉,9.0g,0.0g,10.0g,5g,6000.0㎎,0g,0g,0g
대상)청정원햇살담은진간장골드,100.0g,60.0㎉,6.0g,0.0g,9.0g,2g,6400.0㎎,0g,0g,0g
대상)청정원홍초마테레몬,150g,1080.0㎉,0g,0g,288g,216.0g,1044.0㎎,0g,0g,7.2g
대상)청정원홍초매실,150g,1800.0㎉,0g,0g,468g,216.0g,0.0㎎,0g,0g,7.2g
대상)청정원홍초바이탈플러스딸기자몽,25.0mL,30.0㎉,0.0g,0.0g,7.0g,4g,0.0㎎,0g,0g,0g
대상)청정원홍초바이탈플러스복분자,25.0g,25㎉,0g,0g,0g,4g,0㎎,0g,0g,0g
대상)청정원홍초바이탈플러스블루베리블라썸,37.5mL,35.0㎉,0.0g,0.5g,9.0g,5g,5.0㎎,0g,0g,0g
대상)청정원홍초바이탈플러스키위그레이프,25.0mL,35.0㎉,0g,0.0g,9.0g,4g,0.0㎎,0g,0.0g,0g
대상)청정원홍초백년초,150g,1440.0㎉,0g,0g,360g,252.0g,0.0㎎,0g,0g,7.2g
대상)청정원홍초복분자,150g,1260.0㎉,0g,0g,360g,180.0g,0.0㎎,0g,0g,7.2g
대상)청정원홍초블루베리,150g,1440.0㎉,0g,0g,360g,180.0g,0.0㎎,0g,0g,7.2g
대상)청정원홍초산수유,150g,1620.0㎉,0g,0g,432g,216.0g,0.0㎎,0g,0g,7.2g
대상)청정원홍초석류,150g,1260.0㎉,0g,0g,324g,216.0g,0.0㎎,0g,0g,7.2g
대상)청정원홍초아이스블루베리,150g,369.0㎉,0g,0g,99g,63.0g,0.0㎎,0g,0g,7.2g
대상)청정원홍초아이스석류,150g,378.0㎉,0g,0g,99g,10.8g,0.0㎎,0g,0g,7.2g
대상)청정원홍초오디,150g,1260.0㎉,0g,0g,360g,216.0g,0.0㎎,0g,0g,7.2g
대상)청정원홍초체리,150g,1440.0㎉,0g,0g,396g,216.0g,0.0㎎,0g,0g,7.2g
대상)청정원홍초풋사과,37.5mL,45.0㎉,0.5g,0.0g,11.0g,9g,5.0㎎,0g,0g,0g
대상)청정원후르츠잼,20g,10.0㎉,0g,0g,2.6g,1.97g,0.0㎎,0g,0g,0g
대상)콜라겐,200g,320.0㎉,20g,0g,60g,0.0g,180.0㎎,0g,0g,0g
대상)콜라겐엘라스틱,200g,371.43㎉,45.71g,0g,51.43g,45.71g,85.71㎎,0g,0g,1.71g
대상)콩이가득두부,100.0g,90㎉,0g,0g,0g,0g,0㎎,0g,0g,0g
대상)클로렐라케일,150.0mL,60.0㎉,1g,0.0g,5.0g,4g,90.0㎎,0g,0.0g,0g
대상)튼튼케어초유+칼슘,30g,600.0㎉,25g,12.5g,100g,3.0g,0.0㎎,0g,5g,5.7g
대상)피자소스,100g,148.0㎉,1.8g,2g,30.7g,0.0g,842.0㎎,0g,0g,0g
대상)햇살담은양조국간장,100.0g,35.0㎉,5.0g,0.0g,4.0g,1g,7000.0㎎,0g,0g,0g
대상)홍삼기력골드프리미엄,150g,270.0㎉,0g,0g,63g,0.94g,0.0㎎,0g,0g,0g
대상)홍삼순액100,150g,0.0㎉,0g,0g,4.5g,0.94g,90.0㎎,0g,0g,0g
대상)홍삼진액,150g,0.0㎉,0g,0g,4.5g,0.94g,90.0㎎,0g,0g,0g
대상)홍초와양파,200g,240.0㎉,0g,0g,60g,40.0g,20.0㎎,0g,0g,0g
대상라이프사이언스)뉴케어300TF,100.0mL,100.0㎉,4.0g,3.0g,14.25g,0g,90.0㎎,0g,0.9g,0g
대상라이프사이언스)뉴케어INTENSIVE300,100.0mL,100.0㎉,6.0g,3.0g,12.25g,0g,90.0㎎,0g,1.2g,0g
대상라이프사이언스)뉴케어INTENSIVEAFADDFIBER,100.0mL,100.0㎉,6.0g,3.5g,12.0g,0g,90.0㎎,0g,0.9g,0g
대상라이프사이언스)뉴케어단호박맛,100.0mL,100.0㎉,4.0g,3.0g,15.0g,3g,90.0㎎,0g,0.4g,0g
대상라이프사이언스)뉴케어당뇨식,100.0mL,100.0㎉,4.5g,4.8g,11.0g,2g,80.0㎎,0g,0.7g,0g
대상라이프사이언스)뉴케어당플랜,200.0mL,200.0㎉,9.0g,9.0g,23.5g,0g,220.0㎎,0g,0.7g,0g
대상라이프사이언스)뉴케어딸기맛,100.0mL,100.0㎉,3.5g,3.0g,15.0g,3.5g,65.0㎎,0g,0.6g,0g
대상라이프사이언스)뉴케어미니구수한맛,150.0mL,110.0㎉,4.5g,4.8g,12.5g,5g,110.0㎎,0g,0.65g,0g
대상라이프사이언스)뉴케어액티브,200.0mL,200㎉,15g,6g,23g,8g,210㎎,0g,1.6g,0g
대상라이프사이언스)뉴케어오메가,100.0mL,100.0㎉,5.0g,3.0g,13.75g,3.5g,90.0㎎,0g,1g,0g
대상라이프사이언스)뉴케어칼로리1.5,100.0mL,150.0㎉,6.5g,5.5g,20.5g,1.5g,120.0㎎,0g,1.15g,0g
대상라이프사이언스)뉴케어케이디,100.0mL,200.0㎉,3.0g,7.0g,32.0g,2g,60.0㎎,0g,0.55g,0g
대상라이프사이언스)뉴케어케이디플러스,100.0mL,200.0㎉,7.5g,7.5g,26.5g,3g,70.0㎎,0g,2.5g,0g
대상라이프사이언스)뉴케어하이프로틴,100.0mL,100.0㎉,6.5g,3.0g,12.0g,1.6g,105.0㎎,0g,0.9g,0g
대상라이프사이언스)뉴케어화이바,100.0mL,100.0㎉,4.0g,3.5g,14.0g,0g,90.0㎎,0g,0.9g,0g
대상라이프사이언스)마이밀그레인,250.0mL,200㎉,13g,6g,30g,12g,290㎎,0g,1g,0g
대상라이프사이언스)마이밀바나나,250.0mL,200㎉,13g,6g,30g,12g,250㎎,0g,1g,0g
대상라이프사이언스)마이밀핏말차,300.0mL,120㎉,15g,2g,20g,4g,240㎎,0g,1.2g,0g
대상라이프사이언스)마이밀핏오트밀,300.0mL,120㎉,15g,2.2g,20g,4g,240㎎,0g,1.2g,0g
대선엔지니어링)스위트콘,30.0g,48.24㎉,0.54g,2.7g,5.4g,1.18g,64.8㎎,0g,2.16g,0g
대성)미니양파맛스낵,100.0g,391.06㎉,9.39g,1.48g,86.09g,1.8g,109.65㎎,0g,0.44g,0.01g
대성)미니자색고구마맛스낵,45.0g,175㎉,4g,0.9g,37g,0.9g,117㎎,0g,0.2g,0g
대성)쌀산자,100.0g,375㎉,4g,1.5g,86g,28.2g,160㎎,0g,0.71g,0g
대성)오곡누룽지스낵,50.0g,198.125㎉,3.95g,0.505g,44.445g,0.21g,47.22㎎,0g,0.135g,0g
대성)우리밀네모난바삭오곡칩,50.0g,190㎉,4g,0g,44g,1g,55㎎,0g,0g,0g
대성)카무트칩오리지널,50.0g,198㎉,5g,1g,42g,0g,54㎎,0g,0g,0g
대성무역)와사비그린마메,30.0g,38.18㎉,1.64g,0.9g,6g,4.91g,49.09㎎,0g,0g,0g
대성무역)와사비맛차야와사비그린마메,30.0g,38.18㎉,1.64g,0.9g,6g,4.91g,49.09㎎,0g,0g,0g
대성무역)와사비맛차야와사비빈스,30.0g,40.91㎉,1.91g,1.28g,5.45g,4.91g,45㎎,0g,0g,0g
대성무역)와사비빈스,30.0g,40.91㎉,1.91g,1.28g,5.45g,4.91g,45㎎,0g,0g,0g
대성의성마늘)몸애쏙속유기농어린이배도라지즙,1000.0mL,480㎉,0g,0g,12g,9g,4㎎,0g,0g,0g
대성의성마늘)유기농푸룬사과즙,80.0mL,48㎉,0g,0g,11g,8g,9㎎,0g,0g,0g
대신농산)청춘캔디,30.0g,110.0㎉,0g,0.0g,29.0g,14g,80.0㎎,0g,0.0g,0g
대신농산)쿠키크럼,100.0g,500㎉,7g,24g,64g,27g,580㎎,0g,11g,0g
대신농산)쿠키파우더,100.0g,500㎉,7g,24g,64g,27g,580㎎,0g,11g,0g
대신물산)마시는곤약사과,100.0mL,10㎉,0g,0g,8.1g,1.8g,35㎎,0g,0g,0g
대신물산)마시는곤약오렌지,100.0mL,10㎉,0g,0g,7.8g,1.6g,38.2㎎,0g,0g,0g
대신물산)마시는곤약포도,100.0mL,10㎉,0g,0g,8g,2.5g,40㎎,0g,0g,0g
대신물산)메디푸드오알에스,100.0g,5㎉,0g,0g,1g,1g,115㎎,0g,0g,0g
대신물산)현미곤약밥,150.0g,120㎉,2g,0.5g,27g,0g,0㎎,0g,0.1g,0g
대신에프에스)갈릭바게트,90.0g,426㎉,9g,17g,59g,9g,43㎎,0g,9g,0g
대신에프에스)내가맛스타,120.0g,380㎉,9g,14g,55g,7g,355㎎,0g,6g,0g
대신에프에스)대신내가맛스타,120.0g,380.0㎉,9.0g,14.0g,55.0g,7g,350.0㎎,0g,6g,0g
대신에프에스)대신치즈브래드,100.0g,355.0㎉,7.0g,18.0g,35.0g,3.8g,250.0㎎,0g,8g,0g
대신에프에스)매콤달콤바게트,90.0g,409㎉,10g,12g,65g,7g,672㎎,0g,7g,0g
대신에프에스)바베큐구운치킨,180.0g,351㎉,26g,14g,30g,2g,687.0㎎,0g,5g,0.0g
대신에프에스)시카고피자,120.0g,398㎉,5g,7g,29g,6g,202㎎,0g,3g,0g
대신에프에스)에이스팡냉동,120.0g,349㎉,11g,8g,59g,7g,413.0㎎,0g,4g,0.0g
대신에프에스)치즈브레드,100.0g,355㎉,7g,18g,35g,3.8g,250㎎,0g,8g,0g
대아)구포국수,100.0g,358.4㎉,0g,0g,0g,7.7g,1461.2㎎,0g,0.8g,0g
대아)메밀면,200.0g,544.4㎉,13.8g,1.2g,119.6g,7.8g,986.6㎎,0g,0.2g,0g
대양)바나나스틱,30.0g,48㎉,0.3g,2.7g,5.7g,0.9g,3㎎,0g,0g,0g
대양)바나나칩,30.0g,48㎉,0.3g,2.7g,5.7g,0.9g,3㎎,0g,0g,0g
대양제면)CHOICEL소면,100.0g,350㎉,9g,0g,78g,3g,880㎎,0g,0g,0g
대양제면)OnlyPrice찰진소면,100.0g,350㎉,9g,0g,78g,3g,880㎎,0g,0g,0g
대양제면)농협하나로쫄깃국수소면중면,100.0g,350.0㎉,9.0g,0.0g,78.0g,3g,880.0㎎,0g,0g,0g
대양제면)소표국수소면중면,100.0g,350.0㎉,9.0g,0.0g,78.0g,3g,880.0㎎,0g,0g,0g
대양제면)소표금실면,150.0g,525.0㎉,15.0g,0.0g,114.0g,5g,1140.0㎎,0g,0g,0g
대양제면)신선도원쫄깃국수소면,100.0g,350㎉,9g,0g,78g,3g,880㎎,0g,0g,0g
대양제면)유기농우리밀국수,100.0g,340㎉,11g,0g,74g,3g,973㎎,0g,0g,0g
대양제면)초이스엘금실면,100.0g,350㎉,10g,0.5g,77g,3g,780㎎,0g,0g,0g
대양제면)초이스엘메밀국수,100.0g,345㎉,9g,0g,77g,3g,840㎎,0g,0g,0g
대영)노리마끼,30.0g,31.5㎉,0.6g,0.9g,5.1g,4.2g,11.4㎎,0g,0g,0g
대영)다크초코아몬드볼,50.0g,262㎉,5g,14g,29g,11g,65㎎,0g,4.2g,0g
대영)다크카카오초코볼,100.0g,535㎉,10g,39g,47g,0g,10㎎,0g,24g,0g
대영)딸기먹은초코볼딸기맛,20.0g,115㎉,1g,7g,12g,11g,10㎎,0g,4.2g,0g
대영)딸기아몬드초코볼,100.0g,555㎉,8g,33g,56g,48g,85㎎,0g,20g,0g
대영)땅콩강정,30.0g,42.53㎉,0.9g,1.58g,6.19g,2.4g,21.38㎎,0g,0.24g,0g
대영)리얼화이트초콜릿딸기,50.0g,308㎉,1g,19g,29g,27g,18㎎,0g,12g,0g
대영)마블초코볼,200.0g,990.0㎉,6g,44.0g,143.0g,120g,180.0㎎,0g,38.0g,0g
대영)무설탕초콜릿으로만든다크70%초코볼,60.0g,315㎉,6g,23g,28g,0g,5㎎,0g,14g,0g
대영)무설탕초콜릿으로만든아몬드초코볼,60.0g,335㎉,6g,26g,26g,1g,0㎎,0g,11g,0g
대영)무설탕초콜릿으로만든커피빈초코볼,60.0g,310㎉,4g,23g,31g,0g,0㎎,0g,12g,0g
대영)무설탕초콜릿으로만든헤이즐넛초코볼,60.0g,365㎉,6g,31g,22g,1g,0㎎,0g,9g,0g
대영)밀크초코아몬드볼,50.0g,287㎉,5g,19g,24g,21g,45㎎,0g,8g,0g
대영)스노우초코볼,100.0g,485.0㎉,5g,19.0g,73.0g,49g,180.0㎎,0g,15.0g,0g
대영)아몬드초코볼,50.0g,285.0㎉,9g,19.0g,24.0g,21g,45.0㎎,0g,8.0g,0g
대영)앳캔디,15.0g,40㎉,0g,0g,14g,3g,0㎎,0g,0g,0g
대영)와사비완두콩,30.0g,35.73㎉,1.21g,0.49g,6.62g,1.51g,101.16㎎,0g,0.21g,0g
대영)이디야쇼콜라카페모카,35.0g,190㎉,3g,11g,19g,13g,21㎎,0g,5g,0g
대영)이디야쇼콜라티라미수,35.0g,190㎉,4g,12g,18g,12g,21㎎,0g,5g,0g
대영)익스트림레몬향,28.0g,65㎉,0g,0g,27g,0g,0㎎,0g,0g,0g
대영)익스트림민트,25.2g,60㎉,0g,0g,25g,0g,0㎎,0g,0g,0g
대영)익스트림피치,25.2g,60㎉,0g,0g,24g,0g,0㎎,0g,0g,0g
대영)장금이옛날찐빵,100.0g,244㎉,5g,1.2g,53g,14g,228㎎,0g,0.6g,0g
대영)젤리핏제주감귤비타C,100.0g,375㎉,1g,1.5g,89g,67g,10㎎,0g,1.4g,0g
대영)참깨강정,30.0g,45㎉,1.26g,2.34g,4.86g,0.05g,0.36㎎,0g,0g,0g
대영)초코팝스,50.0g,247㎉,1g,11g,36g,30g,45㎎,0g,10g,0g
대영)초코해바라기씨,50.0g,251㎉,6g,11g,32g,27g,50㎎,0g,5g,0g
대영)쿠키앤크림첵스,100.0g,500.0㎉,5g,22.0g,70.0g,47g,0.0㎎,0g,21.0g,0g
대영)펀스톤초코렛,200.0g,1025.0㎉,8g,50.0g,136.0g,130g,110.0㎎,0g,43.0g,0g
대영)해바라기씨초콜릿,100.0g,540.0㎉,12g,34.0g,53.0g,43g,25.0㎎,0g,14.0g,0g
대영)해씨초코볼,30.0g,151.0㎉,2g,2.0g,20.0g,9g,210.0㎎,0g,2.0g,0g
