식품명,1회제공량,에너지,단백질,지방,탄수화물,당류,나트륨,콜레스테롤,포화지방산,트랜스지방산
앞산자연농원)꿈에참사과즙,120.0mL,53㎉,0.1g,0g,13.2g,13g,0㎎,0g,0g,0g
애니타임)잇퍼스트,85.0g,391.4㎉,4.2g,3g,86.9g,12.5g,265.2㎎,0g,0g,0g
애니타임)잇퍼스트단호박,75.0g,285㎉,18g,2.6g,0g,13g,190㎎,0g,0g,0g
애니타임)잇퍼스트자색고구마,75.0g,280㎉,17g,3.2g,0g,14g,80㎎,0g,0g,0g
애니타임)잇퍼스트초코,75.0g,280㎉,20g,6g,0g,11g,120㎎,0g,0g,0g
애플디저트팩토리)복애플아몬드잼볼쿠키,100.0g,497㎉,7.5g,26.9g,56.3g,18.2g,2.8㎎,0g,13.1g,0g
애플러스)파주청정DMZ사과와함께더맛있는미니사과즙,120.0mL,61.48㎉,1.22g,0.04g,14.06g,11.28g,0.43㎎,0g,0.01g,0g
애플빌)38썬애플사과즙,120.0mL,66㎉,0g,0g,16g,15g,1㎎,0g,0g,0g
애플빌)사과즙,120g,66㎉,0g,0g,0g,15g,0㎎,0g,0g,0g
앤앤비)강황수,100.0mL,0㎉,0g,0g,0g,0g,0㎎,0g,0g,0g
앤에스무역)프릭세바닐라향밀크와퍼스틱,30g,44.6㎉,0.49g,1.91g,6.36g,4.1g,18.16㎎,0g,0.85g,0g
앤에스무역)프릭세티라미슈와퍼스틱,30g,46.26㎉,0.5g,2.07g,6.93g,4.13g,8.22㎎,0g,0.92g,0g
앨리스가든)딸기크레이프,100.0g,268㎉,3g,16g,27g,12g,81㎎,0g,13g,0g
앨리스가든)밀크크레이프,100.0g,277㎉,4g,17g,26g,9g,86㎎,0g,14g,0g
앨리스가든)블루베리크레이프,100.0g,245㎉,4g,17g,28g,12g,87㎎,0g,14g,0g
앨리스가든)쇼콜라크레이프,100.0g,334㎉,5g,22g,29g,16g,95㎎,0g,16g,0g
앰퍼샌드)티라미수타르트,50.0g,184㎉,3g,10g,20g,8g,25㎎,0g,7g,0.3g
야쿠브엔터프라이지즈YAQUBEnt)뉴베이커리클래씩쿠키,30.0g,43.91㎉,0.57g,2.32g,5.12g,0.05g,10.09㎎,0g,1.23g,0g
야쿠브엔터프라이지즈YAQUBEnt)지라플러스비스킷,30.0g,40.95㎉,0.61g,1.68g,6.22g,2.22g,31.5㎎,0g,1.06g,0g
야쿠브엔터프라이지즈YAQUBEnt)클라씩케이크러스크,30g,44.1㎉,0.45g,2.25g,5.4g,3.15g,22.5㎎,0g,0.45g,0g
양반)좋은원초골라300℃고온으로한번더구워더바삭한양반김,4g,1.04㎉,0.03g,0.09g,0.03g,0.0g,1.41㎎,0g,0.01g,0g
양생당)센스미인,100.0mL,20.0㎉,1.0g,0.0g,4.0g,2g,0.0㎎,0g,0g,0g
양지)계피향캔디,10.0g,40㎉,0g,0g,7g,0g,10㎎,0g,0g,0g
양지)고려홍삼캔디,10.0g,40㎉,0g,0g,10g,7g,0㎎,0g,0g,0g
양지)고향고추장,100.0mL,194.0㎉,5g,1.0g,42.0g,19g,3179.0㎎,0g,0.0g,0g
양지)고향맛된장,100.0g,164.81㎉,10.28g,3.41g,23.25g,10.94g,5470.77㎎,0g,0.52g,0.01g
양지)고향양념쌈장,100.0g,195.62㎉,7.86g,2.22g,36.05g,16.63g,3534.73㎎,0g,0.33g,0g
양지)고향재래된장,100.0g,164.81㎉,10.28g,3.41g,23.25g,10.94g,5470.77㎎,0g,0.52g,0.01g
양지)누룽지향캔디,10.0g,40㎉,0g,0g,10g,7g,0㎎,0g,0g,0g
양지)두메골쌈장,100.0g,195.62㎉,7.86g,2.22g,36.05g,16.63g,3534.73㎎,0g,0.33g,0g
양지)두메골재래식된장,100.0g,164.81㎉,10.28g,3.41g,23.25g,10.94g,5470.77㎎,0g,0.52g,0.01g
양지)두메골진간장,100.0mL,35.0㎉,6.0g,0.0g,3.0g,1g,7903.0㎎,0g,0g,0g
양지)박하향캔디,10.0g,40㎉,0g,0g,0g,6g,0㎎,0g,0g,0g
양지)삼미원회초장골드,100.0g,191.36㎉,3.18g,0.64g,43.22g,21.33g,2649.05㎎,0g,0.16g,0g
양지)식자재일등쌈장,100.0g,195.62㎉,7.86g,2.22g,36.05g,16.63g,3534.73㎎,0g,0.33g,0g
양지)식자재일등콩재래식된장,100.0g,164.81㎉,10.28g,3.41g,23.25g,10.94g,5470.77㎎,0g,0.52g,0.01g
양지)신종합캔디,10.0g,40㎉,0g,0g,10g,7g,0㎎,0g,0g,0g
양지)신콩사탕,8.0g,32㎉,3g,1g,7g,5g,14㎎,0g,0g,0g
양지)양지맛집간장,100.0mL,35.0㎉,6.0g,0.0g,3.0g,1g,7903.0㎎,0g,0g,0g
양지)양지맛집된장,100.0g,164.81㎉,10.28g,3.41g,23.25g,10.94g,5470.77㎎,0g,0.52g,0.01g
양지)양지맛집쌈장,100.0g,195.62㎉,7.86g,2.22g,36.05g,16.63g,3534.73㎎,0g,0.33g,0g
양지)옛날사탕,7.0g,30㎉,0g,0g,7g,5g,0㎎,0g,0g,0g
양지)옛날왕사탕,16.0g,65㎉,0g,0g,0g,9g,0㎎,0g,0g,0g
양지)웰푸드재래식된장,100.0g,164.81㎉,10.28g,3.41g,23.25g,10.94g,5470.77㎎,0g,0.52g,0.01g
양지)유가,10.0g,40㎉,0g,0g,10g,7g,0㎎,0g,0.5g,0g
양지)이안장맛뚝베기된장,100.0g,164.81㎉,10.28g,3.41g,23.25g,10.94g,5470.77㎎,0g,0.52g,0.01g
양지)이안장맛양념쌈장,100.0g,195.62㎉,7.86g,2.22g,36.05g,16.63g,3534.73㎎,0g,0.33g,0g
양지)이안장맛진간장,100.0mL,35.0㎉,6.0g,0.0g,3.0g,1g,7903.0㎎,0g,0g,0g
양지)장누리재래식된장,100.0g,164.81㎉,10.28g,3.41g,23.25g,10.94g,5470.77㎎,0g,0.52g,0.01g
양지)장누리진간장,100.0mL,35.0㎉,6.0g,0.0g,3.0g,1g,7903.0㎎,0g,0g,0g
양지)장모님쌈장,100.0g,195.62㎉,7.86g,2.22g,36.05g,16.63g,3534.73㎎,0g,0.33g,0g
양지)장모님일식된장,100.0g,164.81㎉,10.28g,3.41g,23.25g,10.94g,5470.77㎎,0g,0.52g,0.01g
양지)장모님재래식된장,100.0g,164.81㎉,10.28g,3.41g,23.25g,10.94g,5470.77㎎,0g,0.52g,0.01g
양지)장모님회초장,100.0g,191.36㎉,3.18g,0.64g,43.22g,21.33g,2649.05㎎,0g,0.16g,0g
양지)장패초장,100.0g,191.36㎉,3.18g,0.64g,43.22g,21.33g,2649.05㎎,0g,0.16g,0g
양지)착한식재료재래식된장,100.0g,164.81㎉,10.28g,3.41g,23.25g,10.94g,5470.77㎎,0g,0.52g,0.01g
양지)채움늘쌈장,100.0g,195.62㎉,7.86g,2.22g,36.05g,16.63g,3534.73㎎,0g,0.33g,0g
양지)청아한순간장,100.0mL,35.0㎉,6.0g,0.0g,3.0g,1g,7903.0㎎,0g,0g,0g
양지)청아한진간장,100.0mL,35.0㎉,6.0g,0.0g,3.0g,1g,7903.0㎎,0g,0g,0g
양지)친정집떡볶이양념장,100.0g,239.78㎉,2.78g,0.66g,55.68g,30.56g,2264.54㎎,0g,0.14g,0g
양지)친정집뚝배기된장,100.0g,164.81㎉,10.28g,3.41g,23.25g,10.94g,5470.77㎎,0g,0.52g,0.01g
양지)친정집메주된장,100.0g,164.81㎉,10.28g,3.41g,23.25g,10.94g,5470.77㎎,0g,0.52g,0.01g
양지)친정집쌈장,100.0g,195.62㎉,7.86g,2.22g,36.05g,16.63g,3534.73㎎,0g,0.33g,0g
양지)친정집일식된장,100.0g,165.0㎉,10.2g,7.0g,23.0g,10g,5470.0㎎,0g,0.5g,0g
양지)친정집재래식된장,100.0g,164.81㎉,10.28g,3.41g,23.25g,10.94g,5470.77㎎,0g,0.52g,0.01g
양지)친정집조선고추장,100.0mL,205.0㎉,5g,1.0g,44.0g,20g,3218.0㎎,0g,0.0g,0g
양지)친정집진간장,100.0mL,35.0㎉,6.0g,0.0g,3.0g,1g,7903.0㎎,0g,0g,0g
양지)친정집찌개된장,100.0g,164.81㎉,10.28g,3.41g,23.25g,10.94g,5470.77㎎,0g,0.52g,0.01g
